iter	RMSE
0	46533.36835
1	46435.96215
2	46348.08471
3	46255.34887
4	46151.92059
5	46048.93495
6	45996.72671
7	45908.35708
8	45796.34159
9	45673.2001
10	45595.08855
11	45456.80405
12	45383.08176
13	45304.87126
14	45197.18864
15	45108.0943
16	45027.58154
17	44948.2988
18	44853.53368
19	44816.8072
20	44748.09662
21	44686.72122
22	44632.7658
23	44568.91028
24	44490.44567
25	44375.8745
26	44319.23625
27	44246.04615
28	44179.06702
29	44130.49168
30	44050.29884
31	43949.69397
32	43850.27077
33	43772.25395
34	43690.40478
35	43627.1638
36	43532.86579
37	43471.1725
38	43381.13917
39	43295.77924
40	43216.4614
41	43128.75583
42	43041.67328
43	42931.93164
44	42867.43346
45	42786.39816
46	42740.9464
47	42691.14789
48	42607.12347
49	42515.23645
50	42469.4505
51	42432.7469
52	42396.99078
53	42340.47606
54	42281.30557
55	42205.79041
56	42139.31248
57	42092.29837
58	42029.80626
59	41954.08736
60	41888.80245
61	41838.44053
62	41768.48889
63	41685.2749
64	41625.90348
65	41526.63922
66	41465.63638
67	41429.68528
68	41351.43577
69	41312.79803
70	41264.61092
71	41185.83755
72	41130.87199
73	41071.34029
74	41028.93966
75	40973.36759
76	40893.07682
77	40841.4904
78	40798.04634
79	40722.3089
80	40674.87652
81	40626.12258
82	40592.113
83	40554.90076
84	40466.033
85	40390.54977
86	40340.73036
87	40278.39112
88	40237.39153
89	40185.83175
90	40131.11059
91	40044.47342
92	39992.99089
93	39933.58677
94	39844.88103
95	39795.05287
96	39730.40441
97	39660.55271
98	39613.17744
99	39556.61647
100	39510.44752
101	39472.05007
102	39427.39443
103	39382.89309
104	39320.89907
105	39259.74112
106	39225.11767
107	39163.26978
108	39079.31209
109	38997.84001
110	38956.16125
111	38930.71763
112	38886.85129
113	38841.01282
114	38798.16486
115	38723.03188
116	38645.73636
117	38585.03924
118	38538.33425
119	38485.74902
120	38453.5087
121	38377.69778
122	38320.6676
123	38233.38271
124	38149.34214
125	38087.70823
126	38038.82279
127	37989.33804
128	37940.98572
129	37923.22021
130	37880.37696
131	37830.02447
132	37747.44967
133	37680.48453
134	37619.37242
135	37564.82501
136	37524.64314
137	37496.91258
138	37415.57007
139	37367.58655
140	37317.96541
141	37266.97
142	37223.63581
143	37196.75205
144	37155.11557
145	37122.57141
146	37084.29143
147	37049.68649
148	37009.78395
149	36966.31471
150	36899.45577
151	36854.56143
152	36775.71429
153	36718.96024
154	36673.84212
155	36642.94621
156	36596.52076
157	36574.52481
158	36538.96343
159	36487.55989
160	36430.18223
161	36375.84363
162	36337.80742
163	36271.90907
164	36211.31689
165	36127.83187
166	36084.2605
