iter	Passed	Remaining
0	93	93603
1	100	50118
2	107	35665
3	114	28479
4	121	24095
5	128	21336
6	136	19298
7	143	17777
8	149	16505
9	156	15491
10	163	14688
11	175	14413
12	185	14081
13	194	13698
14	206	13563
15	214	13169
16	222	12881
17	229	12520
18	236	12215
19	244	11986
20	251	11721
21	258	11492
22	265	11298
23	272	11098
24	280	10935
25	287	10768
26	293	10588
27	300	10445
28	308	10317
29	314	10170
30	321	10047
31	328	9942
32	336	9862
33	349	9916
34	358	9879
35	366	9816
36	375	9785
37	384	9731
38	392	9680
39	403	9677
40	412	9656
41	421	9612
42	428	9532
43	437	9509
44	446	9483
45	453	9412
46	460	9343
47	467	9276
48	475	9221
49	482	9171
50	489	9102
51	496	9043
52	503	8992
53	515	9022
54	523	8996
55	533	9000
56	547	9052
57	558	9064
58	565	9019
59	572	8968
60	579	8917
61	586	8868
62	593	8828
63	600	8788
64	607	8738
65	614	8690
66	621	8648
67	628	8608
68	634	8561
69	641	8518
70	648	8485
71	655	8452
72	662	8412
73	668	8371
74	675	8335
75	686	8342
76	695	8332
77	703	8315
78	711	8297
79	721	8301
80	729	8279
81	737	8258
82	744	8224
83	751	8190
84	758	8159
85	768	8172
86	777	8164
87	786	8151
88	795	8144
89	805	8145
90	818	8174
91	825	8151
92	834	8135
93	841	8112
94	849	8089
95	857	8077
96	864	8052
97	872	8029
98	879	8008
99	887	7985
100	894	7959
101	902	7944
102	909	7922
103	916	7895
104	923	7874
105	934	7882
106	942	7869
107	951	7862
108	960	7851
109	969	7841
110	976	7823
111	985	7810
112	993	7799
113	1002	7795
114	1011	7786
115	1019	7769
116	1026	7747
117	1033	7728
118	1041	7713
119	1048	7690
120	1055	7667
121	1062	7648
122	1069	7626
123	1076	7606
124	1083	7583
125	1090	7565
126	1097	7546
127	1110	7563
128	1118	7549
129	1126	7537
130	1134	7526
131	1145	7530
132	1153	7518
133	1160	7500
134	1168	7483
135	1175	7466
136	1182	7446
137	1190	7434
138	1199	7429
139	1207	7415
140	1214	7397
141	1221	7382
142	1228	7360
143	1235	7343
144	1243	7335
145	1251	7322
146	1260	7315
147	1270	7315
148	1280	7312
149	1289	7304
150	1297	7296
151	1307	7293
152	1315	7282
153	1323	7271
154	1334	7276
155	1342	7265
156	1351	7259
157	1360	7248
158	1370	7247
159	1379	7242
160	1386	7226
161	1393	7209
162	1401	7198
163	1408	7180
164	1415	7162
165	1423	7153
166	1430	7136
167	1437	7119
168	1447	7115
169	1454	7101
170	1461	7087
171	1470	7079
172	1479	7073
173	1488	7066
174	1496	7056
175	1505	7047
176	1514	7042
177	1521	7026
178	1529	7017
179	1539	7013
180	1547	7000
181	1554	6988
182	1564	6984
183	1571	6971
184	1580	6960
185	1587	6945
186	1594	6931
187	1602	6922
188	1612	6920
189	1620	6909
190	1630	6904
191	1639	6899
192	1652	6909
193	1659	6893
194	1667	6882
195	1676	6877
196	1683	6863
197	1687	6837
198	1698	6837
199	1705	6821
